
a{1} @01n e= []
dE.dp{1}(7) @01d r= 0
dE.dp{1}(8) @01d r= 0
dE.dp{1}(9) @01d r= 0
dE.dpu{1}{1}(1) @01d r= 0
dE.dpu{1}{1}(10) @01d r= 0
dE.dpu{1}{1}(11) @01d r= 0
dE.dpu{1}{1}(12) @01d r= 0
dE.dpu{1}{1}(13) @01d r= 0
dE.dpu{1}{1}(14) @01d r= 0
dE.dpu{1}{1}(15) @01d r= 0
dE.dpu{1}{1}(16) @01d r= 0
dE.dpu{1}{1}(17) @01d f= 1.233110e-10
dE.dpu{1}{1}(17) @02d f= -1.000495e-02
dE.dpu{1}{1}(17) @03d f= -1.024211e-02
dE.dpu{1}{1}(17) @04d f= 1.011487e-02
dE.dpu{1}{1}(17) @05d f= 1.063734e-01
dE.dpu{1}{1}(17) @06d f= -1.002936e-01
dE.dpu{1}{1}(17) @07d f= 1.008098e-01
dE.dpu{1}{1}(17) @08d f= -1.001245e-01
dE.dpu{1}{1}(17) @09d f= -1.001675e-01
dE.dpu{1}{1}(17) @10d f= -1.001515e-01
dE.dpu{1}{1}(17) @11d f= -1.001515e-01
dE.dpu{1}{1}(17) @12d f= -1.001515e-01
dE.dpu{1}{1}(17) @13d f= -1.001515e-01
dE.dpu{1}{1}(17) @14d f= -1.001515e-01
dE.dpu{1}{1}(17) @15d f= -1.001515e-01
dE.dpu{1}{1}(17) @16d f= -1.001515e-01
dE.dpu{1}{1}(18) @01d r= 0
dE.dpu{1}{1}(19) @01d r= 0
dE.dpu{1}{1}(2) @01d r= 0
dE.dpu{1}{1}(20) @01d r= 0
dE.dpu{1}{1}(21) @01d r= 0
dE.dpu{1}{1}(22) @01d r= 0
dE.dpu{1}{1}(23) @01d r= 0
dE.dpu{1}{1}(24) @01d r= 0
dE.dpu{1}{1}(25) @01d r= 0
dE.dpu{1}{1}(3) @01d r= 0
dE.dpu{1}{1}(4) @01d r= 0
dE.dpu{1}{1}(5) @01d r= 0
dE.dpu{1}{1}(6) @01d r= 0
dE.dpu{1}{1}(7) @01d r= 0
dE.dpu{1}{1}(8) @01d r= 0
dE.dpu{1}{1}(9) @01d r= 0
dE.dpu{1}{10}(1) @01d r= 0
dE.dpu{1}{10}(10) @01d r= 0
dE.dpu{1}{10}(11) @01d r= 0
dE.dpu{1}{10}(12) @01d r= 0
dE.dpu{1}{10}(13) @01d r= 0
dE.dpu{1}{10}(14) @01d r= 0
dE.dpu{1}{10}(15) @01d r= 0
dE.dpu{1}{10}(16) @01d r= 0
dE.dpu{1}{10}(17) @01d r= 0
dE.dpu{1}{10}(18) @01d r= 0
dE.dpu{1}{10}(19) @01d r= 0
dE.dpu{1}{10}(2) @01d r= 0
dE.dpu{1}{10}(20) @01d r= 0
dE.dpu{1}{10}(21) @01d r= 0
dE.dpu{1}{10}(22) @01d r= 0
dE.dpu{1}{10}(23) @01d r= 0
dE.dpu{1}{10}(24) @01d r= 0
dE.dpu{1}{10}(25) @01d f= 1.233213e-10
dE.dpu{1}{10}(25) @02d f= 1.005274e-03
dE.dpu{1}{10}(25) @03d f= 1.002582e-02
dE.dpu{1}{10}(25) @04d f= -1.009240e-04
dE.dpu{1}{10}(25) @05d f= 1.006131e-03
dE.dpu{1}{10}(25) @06d f= 1.012134e-02
dE.dpu{1}{10}(25) @07d f= -1.001459e-02
dE.dpu{1}{10}(25) @08d f= -1.000540e-02
dE.dpu{1}{10}(25) @09d f= 1.002331e-01
dE.dpu{1}{10}(25) @10d f= 1.003645e-01
dE.dpu{1}{10}(25) @11d f= 1.003645e-01
dE.dpu{1}{10}(25) @12d f= 1.003645e-01
dE.dpu{1}{10}(25) @13d f= 1.003645e-01
dE.dpu{1}{10}(25) @14d f= 1.003645e-01
dE.dpu{1}{10}(25) @15d f= 1.003645e-01
dE.dpu{1}{10}(25) @16d f= 1.003645e-01
dE.dpu{1}{10}(3) @01d r= 0
dE.dpu{1}{10}(4) @01d r= 0
dE.dpu{1}{10}(5) @01d r= 0
dE.dpu{1}{10}(6) @01d r= 0
dE.dpu{1}{10}(7) @01d r= 0
dE.dpu{1}{10}(8) @01d r= 0
dE.dpu{1}{10}(9) @01d r= 0
dE.dpu{1}{11}(1) @01d r= 0
dE.dpu{1}{11}(10) @01d r= 0
dE.dpu{1}{11}(11) @01d r= 0
dE.dpu{1}{11}(12) @01d r= 0
dE.dpu{1}{11}(13) @01d r= 0
dE.dpu{1}{11}(14) @01d r= 0
dE.dpu{1}{11}(15) @01d r= 0
dE.dpu{1}{11}(16) @01d r= 0
dE.dpu{1}{11}(17) @01d f= 1.232799e-10
dE.dpu{1}{11}(17) @02d f= -1.232799e-10
dE.dpu{1}{11}(17) @03d f= 1.232799e-10
dE.dpu{1}{11}(17) @04d f= 1.232799e-10
dE.dpu{1}{11}(17) @05d f= 1.232799e-10
dE.dpu{1}{11}(17) @06d f= 1.232799e-10
dE.dpu{1}{11}(17) @07d f= -1.232799e-10
dE.dpu{1}{11}(17) @08d f= -1.232799e-10
dE.dpu{1}{11}(17) @09d f= 1.232799e-10
dE.dpu{1}{11}(17) @10d f= 1.232799e-10
dE.dpu{1}{11}(17) @11d f= 1.232799e-10
dE.dpu{1}{11}(17) @12d f= 1.232799e-10
dE.dpu{1}{11}(17) @13d f= 1.232799e-10
dE.dpu{1}{11}(17) @14d f= 1.232799e-10
dE.dpu{1}{11}(17) @15d f= 1.232799e-10
dE.dpu{1}{11}(17) @16d f= 1.232799e-10
dE.dpu{1}{11}(18) @01d r= 0
dE.dpu{1}{11}(19) @01d r= 0
dE.dpu{1}{11}(2) @01d r= 0
dE.dpu{1}{11}(20) @01d r= 0
dE.dpu{1}{11}(21) @01d r= 0
dE.dpu{1}{11}(22) @01d r= 0
dE.dpu{1}{11}(23) @01d r= 0
dE.dpu{1}{11}(24) @01d r= 0
dE.dpu{1}{11}(25) @01d r= 0
dE.dpu{1}{11}(3) @01d r= 0
dE.dpu{1}{11}(4) @01d r= 0
dE.dpu{1}{11}(5) @01d r= 0
dE.dpu{1}{11}(6) @01d r= 0
dE.dpu{1}{11}(7) @01d r= 0
dE.dpu{1}{11}(8) @01d r= 0
dE.dpu{1}{11}(9) @01d r= 0
dE.dpu{1}{12}(1) @01d r= 0
dE.dpu{1}{12}(10) @01d r= 0
dE.dpu{1}{12}(11) @01d r= 0
dE.dpu{1}{12}(12) @01d r= 0
dE.dpu{1}{12}(13) @01d r= 0
dE.dpu{1}{12}(14) @01d r= 0
dE.dpu{1}{12}(15) @01d r= 0
dE.dpu{1}{12}(16) @01d r= 0
dE.dpu{1}{12}(17) @01d r= 0
dE.dpu{1}{12}(18) @01d r= 0
dE.dpu{1}{12}(19) @01d f= 1.232799e-10
dE.dpu{1}{12}(19) @02d f= -1.232799e-10
dE.dpu{1}{12}(19) @03d f= 1.232799e-10
dE.dpu{1}{12}(19) @04d f= 1.232799e-10
dE.dpu{1}{12}(19) @05d f= 1.232799e-10
dE.dpu{1}{12}(19) @06d f= 1.232799e-10
dE.dpu{1}{12}(19) @07d f= -1.232799e-10
dE.dpu{1}{12}(19) @08d f= -1.232799e-10
dE.dpu{1}{12}(19) @09d f= 1.232799e-10
dE.dpu{1}{12}(19) @10d f= 1.232799e-10
dE.dpu{1}{12}(19) @11d f= 1.232799e-10
dE.dpu{1}{12}(19) @12d f= 1.232799e-10
dE.dpu{1}{12}(19) @13d f= 1.232799e-10
dE.dpu{1}{12}(19) @14d f= 1.232799e-10
dE.dpu{1}{12}(19) @15d f= 1.232799e-10
dE.dpu{1}{12}(19) @16d f= 1.232799e-10
dE.dpu{1}{12}(2) @01d r= 0
dE.dpu{1}{12}(20) @01d r= 0
dE.dpu{1}{12}(21) @01d r= 0
dE.dpu{1}{12}(22) @01d r= 0
dE.dpu{1}{12}(23) @01d r= 0
dE.dpu{1}{12}(24) @01d r= 0
dE.dpu{1}{12}(25) @01d r= 0
dE.dpu{1}{12}(3) @01d r= 0
dE.dpu{1}{12}(4) @01d r= 0
dE.dpu{1}{12}(5) @01d r= 0
dE.dpu{1}{12}(6) @01d r= 0
dE.dpu{1}{12}(7) @01d r= 0
dE.dpu{1}{12}(8) @01d r= 0
dE.dpu{1}{12}(9) @01d r= 0
dE.dpu{1}{13}(1) @01d r= 0
dE.dpu{1}{13}(10) @01d r= 0
dE.dpu{1}{13}(11) @01d r= 0
dE.dpu{1}{13}(12) @01d r= 0
dE.dpu{1}{13}(13) @01d r= 0
dE.dpu{1}{13}(14) @01d r= 0
dE.dpu{1}{13}(15) @01d r= 0
dE.dpu{1}{13}(16) @01d r= 0
dE.dpu{1}{13}(17) @01d r= 0
dE.dpu{1}{13}(18) @01d r= 0
dE.dpu{1}{13}(19) @01d r= 0
dE.dpu{1}{13}(2) @01d r= 0
dE.dpu{1}{13}(20) @01d r= 0
dE.dpu{1}{13}(21) @01d f= 1.232799e-10
dE.dpu{1}{13}(21) @02d f= -1.232799e-10
dE.dpu{1}{13}(21) @03d f= 1.232799e-10
dE.dpu{1}{13}(21) @04d f= 1.232799e-10
dE.dpu{1}{13}(21) @05d f= 1.232799e-10
dE.dpu{1}{13}(21) @06d f= 1.232799e-10
dE.dpu{1}{13}(21) @07d f= -1.232799e-10
dE.dpu{1}{13}(21) @08d f= -1.232799e-10
dE.dpu{1}{13}(21) @09d f= 1.232799e-10
dE.dpu{1}{13}(21) @10d f= 1.232799e-10
dE.dpu{1}{13}(21) @11d f= 1.232799e-10
dE.dpu{1}{13}(21) @12d f= 1.232799e-10
dE.dpu{1}{13}(21) @13d f= 1.232799e-10
dE.dpu{1}{13}(21) @14d f= 1.232799e-10
dE.dpu{1}{13}(21) @15d f= 1.232799e-10
dE.dpu{1}{13}(21) @16d f= 1.232799e-10
